"type"	"feature"	"n"	"log_odds_weighted"
"1"	"ennius_narrative"	"MORPH_CASE_ABL"	147	0.0256743256755463
"2"	"ennius_narrative"	"MORPH_CASE_ACC"	172	-0.161633417664143
"3"	"ennius_narrative"	"MORPH_CASE_DAT"	31	0.0171710169508422
"4"	"ennius_narrative"	"MORPH_CASE_GEN"	61	0.0666612950322896
"5"	"ennius_narrative"	"MORPH_CASE_LOC"	0	-0.0271359275140222
"6"	"ennius_narrative"	"MORPH_CASE_NOM"	225	0.11088608809146
"7"	"ennius_narrative"	"MORPH_CASE_VOC"	6	0.0473815031572032
"8"	"ennius_narrative"	"MORPH_GENDER_FEM"	173	-0.129793410803325
"9"	"ennius_narrative"	"MORPH_GENDER_MASC"	289	0.118975162539278
"10"	"ennius_narrative"	"MORPH_GENDER_NEUT"	152	-0.0365488625567637
"11"	"ennius_narrative"	"MORPH_MOOD_GDV"	4	0.111889706626686
"12"	"ennius_narrative"	"MORPH_MOOD_GER"	3	0.0856156893514367
"13"	"ennius_narrative"	"MORPH_MOOD_IMP"	4	-0.075643463542887
"14"	"ennius_narrative"	"MORPH_MOOD_IND"	132	0.0245980328490933
"15"	"ennius_narrative"	"MORPH_MOOD_SUB"	21	0.0567356163417179
"16"	"ennius_narrative"	"MORPH_NUMBER_PLUR"	253	-0.0301991651964104
"17"	"ennius_narrative"	"MORPH_NUMBER_SING"	556	0.0716111185568382
"18"	"ennius_narrative"	"MORPH_PERSON_1"	28	0.101255959146786
"19"	"ennius_narrative"	"MORPH_PERSON_2"	10	-0.146119234317357
"20"	"ennius_narrative"	"MORPH_PERSON_3"	143	0.0888630834094735
"21"	"ennius_narrative"	"MORPH_TENSE_FUT"	11	0.00627110281905373
"22"	"ennius_narrative"	"MORPH_TENSE_PAST"	74	-0.0743563450333496
"23"	"ennius_narrative"	"MORPH_TENSE_PQP"	1	-0.096483584836623
"24"	"ennius_narrative"	"MORPH_TENSE_PRES"	141	0.00924878748904337
"25"	"ennius_narrative"	"MORPH_VERBFORM_FIN"	157	0.0240117031622388
"26"	"ennius_narrative"	"MORPH_VERBFORM_INF"	16	-0.0826441145797758
"27"	"ennius_narrative"	"MORPH_VERBFORM_PART"	54	-0.0819967834052929
